"","RIPID","min","max","avg","qav","std","ske","kur","p05","p10","p25","p50","p75","p90","int_p25","int_p50","int_p75","cov","dns","DBH","TotalHt","CrownHT","ba","ba.live","total.count","live.count","dbh.sq","crown.length","crown.mass","crown.mass.kg","mean.dbh.total","mean.dbh.live","mean.ht.total","mean.ht.live","max.ht.total","mean.crownht.total","mean.crownht.live","ba.ac.total","ba.ac.live","tpa.total","tpa.live","mean.crown.mass.lbs","mean.crown.mass.kg","qmd.total","qmd.live","crown.length.total","crown.length.live","crown.ratio.total","crown.ratio.live","B1.max","B2.max","B3.max","B4.max","B5.max","evi.max","mndwi.max","ndvi.max","ndwi.max","B1.mean","B2.mean","B3.mean","B4.mean","B5.mean","evi.mean","mndwi.mean","ndvi.mean","ndwi.mean","B1.min","B2.min","B3.min","B4.min","B5.min","evi.min","mndwi.min","ndvi.min","ndwi.min"
"11",12,1.37,28.46,14.18,225.79,4.98,-0.04,3.08,5.16,7.59,11.14,14.36,17.2,20.32,37,76,108,80.6,69.4,640.5,3593.9,2201.1,40.71580074,38.7994833,67,64,7465.31,1376.8,4560.58593191295,2068.66820825227,9.55970149253731,10.0078125,53.6402985074627,56.1546875,99.6,32.8522388059701,34.3921875,162.86320296,155.1979332,268,256,71.2591551861399,32.3229407539417,10.5556874391691,10.8002531799028,20.7880597014925,21.7625,0.387545563315618,0.387545563315618,239.8333333,292.1666667,442.0833333,365.75,2071.833333,2.200299401,-0.28943643,0.82447881,-0.556787312,121.5347222,169.6111111,324.0555556,261.7708333,1655.9375,1.822483659,-0.443094142,0.726515189,-0.673314542,-2.083333333,56.33333333,211.1666667,174.8333333,1282.666667,1.453785928,-0.576714506,0.603362833,-0.767577474
"12",15,1.37,34.55,21.34,493.23,6.14,-1.02,3.76,8.4,11.97,18.48,22.64,25.69,27.94,24,52,76,53.2,48.9,449.5,2938,1826,30.79977426,30.6465714,40,39,5647.19,1112,4428.94956443383,2008.95834366045,11.2375,11.525641025641,73.45,75.3333333333333,111,45.65,46.8205128205128,123.19909704,122.5862856,160,156,113.562809344457,51.5117524015501,11.8819085167325,12.0332765109817,27.8,28.5128205128205,0.378488767869299,0.378488767869299,261.2727273,326.8181818,478.3636364,436.1818182,2158.727273,1.96722015,-0.41995178,0.736893681,-0.565391286,184.1212121,234.2424242,405.7575758,362.7676768,1869.292929,1.690351045,-0.529381012,0.676593818,-0.643721033,68.72727273,140.4545455,306.6363636,275.2727273,1559.363636,1.347788974,-0.633130518,0.5968513,-0.696414649
"13",16,1.37,27.13,12.02,190.84,6.81,-0.21,1.78,1.89,2.29,4.15,13.73,17.22,20.07,35,61,83,48.9,47.4,185.5,927,462,14.75803314,14.3731989,14,13,2705.91,430,4164.10287593528,1888.82467383438,13.25,14.2692307692308,66.2142857142857,71.3076923076923,90,33,35.5384615384615,59.03213256,57.4927956,56,52,320.315605841175,145.294205679568,13.9024920684849,14.4272978439111,33.2142857142857,35.7692307692308,0.501618122977346,0.501618122977346,359.6666667,429.5,582.5833333,608.3333333,2091.75,1.484756284,-0.494298021,0.600966722,-0.510137215,275.6759259,341.8148148,521.537037,546.7685185,1898.240741,1.308917208,-0.557027981,0.553843876,-0.569584414,153.75,241.4166667,439.1666667,464.3333333,1678.166667,1.118437891,-0.618469417,0.486729066,-0.616391515
"14",17,1.38,23.67,11.26,144.33,4.19,0.01,2.56,4.2,5.65,8.17,11.37,14.23,16.42,18,55,105,72.8,61,975.8,4954.1,2729.45,56.36687184,39.04840386,108,93,10334.96,1684.35,3501.56885108,1588.30121159394,9.03518518518518,10.4924731182796,45.8712962962963,53.2698924731183,80.4,25.2726851851852,29.3489247311828,225.46748736,156.19361544,432,372,37.6512779686022,17.0785076515477,9.78233479666659,10.541755174094,20.5986111111111,23.9209677419355,0.449052300115056,0.449052300115056,284.3636364,329.4545455,526.1818182,457.7272727,2013,2.037597449,-0.389765409,0.777879281,-0.583894399,157.7636364,209.1818182,390.5090909,337.4181818,1833.981818,1.655684191,-0.480227771,0.690163504,-0.650403234,30.36363636,86.36363636,281.8181818,240.1818182,1566.818182,1.421704791,-0.572432003,0.625201231,-0.744379954
"15",18,1.38,22.71,13.02,187.08,4.18,-0.46,2.61,5.34,7.02,10.19,13.66,16.18,18.05,30,65,98,68.6,58.7,718.4,4124,2393,39.15055728,35.28852534,80,73,7178.32,1559,4037.89121098015,1831.57543816572,8.98,9.84109589041096,51.55,56.4931506849315,72,29.9125,32.7808219178082,156.60222912,141.15410136,320,292,55.3135782326048,25.0900744954209,9.47253925829817,9.91630731093644,21.6375,23.7123287671233,0.419738118331717,0.419738118331717,255.4615385,307.0769231,455.2307692,397.7692308,1994.615385,2.068917051,-0.365776777,0.76391867,-0.582846499,139.8269231,189.2795858,353.724359,309.8885602,1729.172584,1.667472516,-0.490206496,0.696644792,-0.661551219,24.15384615,82.38461538,249.0769231,234.8461538,1382.538462,1.379240372,-0.608587494,0.624780306,-0.746387775
"16",19,1.38,18.47,9.17,99.32,3.91,0.18,2.23,3.06,4.03,6.17,8.91,11.93,14.79,36,72,99,30.7,31.7,200,648,187,16.19707104,10.15333002,17,15,2969.76,417,1335.03190275,605.566498571169,11.7647058823529,13.3333333333333,38.1176470588235,43.2,61,11,12.4666666666667,64.78828416,40.61332008,68,60,89.00212685,40.3710999047446,13.2171012217461,14.0706787327406,27.1176470588235,30.7333333333333,0.71141975308642,0.71141975308642,409,500.3333333,644.9166667,707.0833333,2310.833333,1.800112354,-0.415772835,0.645528659,-0.473357784,253.1858974,321.7628205,488.1538462,528.224359,1721.980769,1.235901535,-0.512046389,0.535248727,-0.562080458,89.33333333,154.6666667,301.5,357.5833333,1305.333333,0.90202004,-0.59833159,0.435665632,-0.649241835
"17",20,1.37,26.29,16.44,291.5,4.6,-0.8,3.42,7.32,9.79,13.83,17.25,19.82,21.63,24,54,87,63.5,54.4,626.7,3753,2445.1,40.48716906,39.47463396,60,56,7423.39,1261.6,3100.59315322705,1406.41982818972,10.445,11.1910714285714,62.55,67.0178571428571,88.2,40.7516666666667,43.6625,161.94867624,157.89853584,240,224,55.3677348790545,25.1146397891021,11.1230915966141,11.5134936363506,21.7983333333333,23.3553571428571,0.348494537703171,0.348494537703171,208.3,250.7,393.1,307.4,1946.9,4.020012269,-0.240095863,0.881219369,-0.579981947,106.5,140.67,281,199.59,1498.95,2.158704212,-0.472769141,0.764524001,-0.68314687,-11.1,31.9,114,59.5,862.7,1.59154969,-0.620922458,0.643557316,-0.774698269
"18",21,1.37,21.53,12.25,164.21,3.78,-0.3,2.92,5.23,7.2,9.94,12.42,14.83,16.94,28,55,87,62.7,52.3,670.9,3754,2360.3,35.05433058,32.97172068,79,74,6427.27,1338.6,4028.92434574494,1827.5080947768,8.49240506329114,9.06621621621622,47.5189873417722,50.7297297297297,72.1,29.8772151898734,31.8959459459459,140.21732232,131.88688272,316,296,54.4449235911478,24.6960553348217,9.01985854108954,9.31960299583625,17.6417721518987,18.8337837837838,0.371257325519446,0.371257325519446,222.8333333,268.3333333,414.9166667,343.3333333,1860.416667,3.013150684,-0.311000826,0.808991328,-0.563449189,125.2372685,168.53125,328.6423611,255.78125,1552.194444,1.900201738,-0.487627531,0.716102471,-0.649494812,-0.083333333,59.16666667,221.4166667,161.9166667,1082.416667,1.474659371,-0.606929094,0.631477719,-0.727539117
"19",22,1.37,27,9.74,135.56,6.37,0.46,2.08,1.86,2.3,3.68,9.02,15,18.79,46,76,103,49.6,46.8,273.6,1519.2,863.6,17.37284436,17.21380572,27,26,3185.34,655.6,1591.77376919667,722.023845231185,10.1333333333333,10.5230769230769,56.2666666666667,58.4307692307692,86.1,31.9851851851852,33.2153846153846,69.49137744,68.85522288,108,104,61.2220680460258,27.7701478935071,10.8616552861687,11.0685625499916,24.2814814814815,25.2153846153846,0.431542917324908,0.431542917324908,215.1,259.8,426.9,332.4,2195.9,2.151203484,-0.379652783,0.81681366,-0.6081716,128.2444444,171.5,357.4888889,263.3222222,1852.555556,1.873167753,-0.478227568,0.748226941,-0.675200504,6.1,74,269.7,201.9,1495.8,1.539358603,-0.598873818,0.66686402,-0.731743157
"20",23,1.37,31.38,21.79,503.38,5.36,-1.47,5.49,10.9,14.45,19.93,22.98,25.37,27.14,20,41,59,60.1,51.5,444,3108.8,1688.4,33.75218808,33.75218808,35,35,6188.52,1420.4,4373.72049127264,1983.90660041397,12.6857142857143,12.6857142857143,88.8228571428571,88.8228571428571,102.5,48.24,48.24,135.00875232,135.00875232,140,140,124.96344260779,56.6830457261135,13.2971747804884,13.2971747804884,40.5828571428571,40.5828571428571,0.456896551724138,0.456896551724138,255.3636364,313.9090909,478,412.2727273,2403.363636,1.977799409,-0.503623074,0.80086876,-0.588857196,165.1010101,212.9494949,413.0909091,337.4040404,2072.010101,1.745353848,-0.562288956,0.71675739,-0.665760739,33.09090909,99.90909091,327.7272727,261.7272727,1685.090909,1.434962208,-0.650122252,0.619637056,-0.724283446
