RIPID,B1,B2,B3,B4,B5,B6,B7,evi,mndwi,ndvi,ndwi
52,178.5416667,237.5833333,422.3083333,404.6166667,1880.766667,1516.458333,901.2166667,1.482476315,-0.563958228,0.646299616,-0.634554307
58,146.0083333,194.7083333,379.5333333,318.8666667,1849.916667,1180.841667,627.2416667,1.685212232,-0.515087465,0.705974514,-0.661664044
59,155.7846154,207.5615385,375.0384615,331.9846154,1729.707692,1128.746154,613.6615385,1.650216787,-0.499987316,0.677029794,-0.64314695
53,157.7538462,215.1153846,408.2307692,347.9230769,2195.423077,1389.407692,766.2076923,1.810993912,-0.535057521,0.731734067,-0.687158585
61,332.5875,399.1375,603.4,633.5125,2158.15,1991.9375,1251.4125,1.327731514,-0.532275403,0.551327223,-0.565728045
68,226.3125,273.0625,449.725,403.1625,1908.375,1424.6625,775.2625,1.686682137,-0.517818677,0.649218428,-0.617735481
60,226.107438,286.7024793,466.6363636,463.5206612,1941.289256,1458.471074,874.8842975,1.474291094,-0.510688673,0.615885187,-0.613162604
67,233,300.4230769,479.8525641,512.8589744,1862.089744,1766.012821,1104.769231,1.279853537,-0.564254875,0.573411758,-0.593232155
66,217.1818182,283.2377622,479.6783217,488.2377622,1978.202797,1757.972028,1048.48951,1.357468873,-0.569390454,0.603289648,-0.609135649
78,124.5120701,166.7486772,303.9902447,235.6936177,1388.239749,894.7384259,478.2175926,1.934281586,-0.486901244,0.711521879,-0.641570807
79,139.6828704,176.78125,300.8032407,235.7210648,1288.515046,775.806713,425.6134259,2.012824843,-0.441108535,0.693429659,-0.623527105
90,360.4772727,424.75,629.875,648.4090909,2281.579545,2352.568182,1430.579545,1.381336637,-0.576832712,0.555980937,-0.566874645
88,172.4285714,218.0119048,361.1309524,313.9166667,1512.202381,1181.107143,693.8809524,1.753540517,-0.527615453,0.654045989,-0.613196423
89,367.4535714,437.425,629.4517857,663.5232143,2144.619643,2158.266071,1352.773214,1.317909948,-0.548331833,0.529928383,-0.548098695
96,198.6888889,238.9555556,401.0111111,320.6666667,1856.911111,1298.555556,728.5444444,1.973654873,-0.528069595,0.7071953,-0.645349634
97,202.3958333,240.5,417.5729167,341.84375,1886.739583,1318.53125,709.34375,1.866171933,-0.519394159,0.696423213,-0.63952218
91,211.2222222,245.7435897,389.3418803,312.9487179,1495.538462,837.9316239,480.6581197,2.012293618,-0.374855016,0.666885646,-0.597939753
80,235.6145833,285.4166667,471,412.7291667,2001.84375,1572.135417,906.3541667,1.775495889,-0.528534276,0.664211303,-0.62095884
81,211.9166667,257.9270833,408.4479167,362.4166667,1582.291667,1283.71875,784.6041667,1.718466254,-0.515013325,0.629123986,-0.591346592
69,144.8333333,175.9895833,294.8958333,223.71875,1294.927083,770.4166667,409.5520833,2.126273986,-0.445822428,0.708716422,-0.632007996
38,203.25,249.7916667,424.475,371.9583333,1925.041667,1235.908333,678.5833333,1.730813872,-0.488221981,0.675458163,-0.638969928
44,461.7209596,548.5568182,816.4494949,870.2853535,2471.328283,2521.392677,1614,1.142056781,-0.511466183,0.481858476,-0.505199779
1015,398.2337662,490.4285714,744.961039,776.3506494,2598.12987,2473.12987,1522.961039,1.295697167,-0.53138469,0.540510064,-0.55312841
1016,494.202381,611.1309524,905.2619048,992.2380952,2820.869048,2907.166667,1794.821429,1.099736469,-0.524515937,0.476163822,-0.510808463
1012,398.3492063,491.3174603,747.3015873,776.5238095,2658.31746,2707.206349,1715.984127,1.295610286,-0.565608925,0.544262373,-0.55831278
1011,302.4791667,362.5208333,611.6666667,520.5208333,3528.15625,1738.239583,900.375,1.967578391,-0.456844017,0.74198246,-0.699190641
1010,256.8809524,307.3452381,529.2857143,410.5714286,2741.345238,1395.154762,678.3452381,2.013849099,-0.449516053,0.738122056,-0.674757843
1014,439.3809524,549.702381,844.6785714,934.8571429,3391.27381,2993.333333,1844.130952,1.367340204,-0.55238392,0.562537084,-0.587579528
1017,376.0707071,458.7676768,717.5555556,730.8383838,3264.454545,2680.777778,1600.414141,1.478249785,-0.57575215,0.610436207,-0.619606029
1013,403.1107804,499.1679894,701.4963624,813.7437169,2244.117725,2809.479663,1787.140046,1.064093519,-0.595796282,0.464848255,-0.521063561
1009,335.7375,400.7125,578.9375,579.1,2224.775,1835.5375,1154.925,1.607434826,-0.502605754,0.582117295,-0.580961263
1001,304.3327922,357.1412338,551.1266234,531.4025974,2238.555195,2062.092532,1214.136364,1.590482901,-0.566120186,0.617513397,-0.603131944
1002,227.0185185,265.8703704,424.462963,339.0925926,1803.666667,1169.888889,613.4444444,2.011673991,-0.466286206,0.684360617,-0.61945841
1005,199.7878788,234.5454545,364.9242424,290.2575758,1585.030303,1011.606061,530.0151515,2.088852111,-0.471132056,0.692568768,-0.628126957
1004,198.0952381,236.297619,392.1785714,308.797619,1839.083333,1209.511905,624.0952381,2.02527838,-0.50709564,0.713339135,-0.64926442
1007,362.0238095,430.3214286,623.4047619,670.952381,2102.535714,2359.547619,1567.797619,1.245722014,-0.580680981,0.513938578,-0.540537506
