RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
101,177.9,281.6,215,1365.5,568.1,1.835833242,-0.4174173,0.687823009,-0.685548997
45,282.1,451.3,408.1,1745.4,1167.4,1.316720969,-0.492700443,0.540342316,-0.609730637
70,270.3,428.2,367,1691.4,1167.9,1.695715046,-0.491999826,0.618158966,-0.641798276
62,256,414.1666667,350.1666667,1620.5,1119.5,1.65816471,-0.513085619,0.613317683,-0.635543595
54,306.2727273,494.0909091,436.1818182,1975.090909,1224.272727,1.460518067,-0.467503892,0.587593566,-0.633706651
46,312.25,511.5,450.25,1842.833333,1374.666667,1.363150769,-0.506359609,0.530180506,-0.597613936
55,250.5,406.9166667,352.9166667,1785.666667,1032,1.610472161,-0.484056463,0.64042975,-0.651051889
47,268.6666667,425.7777778,367.7777778,1878.222222,1065.888889,1.623749066,-0.464230435,0.617749857,-0.651967486
41,372.6,612.5,570.6,2106.7,1962.8,0.935492732,-0.559264624,0.427865124,-0.59331997
48,290.4545455,461.6363636,413.9090909,1712.090909,1165,1.41271421,-0.470283912,0.554560109,-0.594096671
56,246.1,348.2,268.3,1209.5,667,1.502962982,-0.493286094,0.58644799,-0.632818449
71,222,384.0833333,298.0833333,1693,959.9166667,1.684761213,-0.491389391,0.656474729,-0.701476445
63,216.9,348.8,265.9,1591.6,795.5,1.845788298,-0.462522578,0.666319197,-0.678567636
72,175.5833333,312.75,239.25,1330.083333,674.8333333,1.726101949,-0.446041872,0.674469312,-0.66420348
82,280.6363636,464.9090909,413.7272727,1946.181818,1485.636364,1.435464835,-0.543635184,0.599908742,-0.666641663
99,178,269.75,195.9166667,1336,508.3333333,-0.527683849,-0.381316135,0.491146855,-0.68212762
100,262.25,334.4166667,294.0833333,1006.833333,614.75,1.137916118,-0.518635765,0.4953116,-0.556848899
92,249.9,408.8,350.9,1560.7,1111,1.60362547,-0.512470031,0.599484175,-0.648012292
98,208.0909091,367,279.3636364,1579.727273,888.1818182,-11.66008,-0.464258571,0.565978901,-0.64482133
95,188.4166667,320.75,254.6666667,1388.5,624.8333333,1.631795476,-0.39744512,0.654099867,-0.640535891
87,170.7272727,327.2727273,263.7272727,1409.454545,651.7272727,1.656146006,-0.498231544,0.667618556,-0.652490155
94,181.5,328.7857143,240.5,1370.785714,603.1428571,1.62655833,-0.404023532,0.653868092,-0.636610086
93,198.5833333,338.25,238.9166667,1527.25,723,1.859114062,-0.449406467,0.694009537,-0.668833524
86,180.0909091,308.5454545,198.0909091,1366.545455,495.1818182,1.990421993,-0.456900437,0.706912902,-0.687137512
77,161.4,294.9,224.6,1040,512.9,1.558748883,-0.527873197,0.569636089,-0.639227808
76,145.1666667,175.0833333,117.5,489,176.25,-10.43830221,-0.461347374,0.604711498,-0.657317251
65,192.8,308.3,251.3,1321.1,638.7,1.713173163,-0.42180374,0.642302018,-0.65557797
75,211.8181818,328.0909091,277.1818182,1509.363636,768.1818182,1.73577955,-0.450811039,0.665803465,-0.67077906
74,160.6363636,189.6363636,126.9090909,509.5454545,163.8181818,-5.253371553,-0.458039576,0.600732305,-0.691861955
85,251.1,444.8,370.6,1960.9,1293.6,1.638562066,-0.516983736,0.635002816,-0.662723607
84,229.4166667,389.75,296,2019.416667,921.5,1.950296487,-0.446416147,0.718899031,-0.699963187
