RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
97,248.8,388.0583333,314.8333333,1502.108333,1086.025,2.041226327,-0.465211168,0.650547564,-0.585462729
91,235.0727273,355.3391608,286.2769231,1333.703497,725.6559441,2.123048631,-0.337584798,0.648236935,-0.580310634
80,245.0075758,377.2575758,323.7651515,1590.166667,1050.704545,1.898876646,-0.466536522,0.659754048,-0.616079425
81,293.6794872,435.3012821,401.3589744,1640.121795,1190.173077,1.709718794,-0.464190836,0.608443603,-0.582591221
69,237.4358974,344.2884615,271.1089744,1186.929487,804.8974359,2.373512676,-0.401744793,0.631306077,-0.552870264
38,246.0714286,394.0833333,326.797619,1725.845238,1049.452381,1.923058604,-0.453776148,0.6821352,-0.6287675
44,524.2597403,781.5194805,836.7662338,2217.311688,2397.103896,1.062908207,-0.50620324,0.4541502,-0.479628617
1015,451.6060606,725.2020202,706.2323232,2586.585859,2237.878788,1.375848885,-0.509908562,0.566665503,-0.558916531
1016,549.3425926,853.0925926,855.6203704,2624.111111,2683.231481,1.22505794,-0.518041636,0.506795689,-0.508537009
1012,412.375,674.3472222,633.875,2604.708333,2271.361111,1.488759326,-0.540434791,0.602925903,-0.584018873
1011,343.5520833,578.9791667,545.78125,3285.020833,1932.739583,1.797198274,-0.512723356,0.693313852,-0.679862241
1010,277.5,488.4895833,373.5520833,2587.354167,1321.552083,2.028369914,-0.459449651,0.74669,-0.681648011
1014,500.5520833,819.4791667,883.3333333,3168,2836.739583,1.289224688,-0.546885123,0.556166038,-0.578160569
1017,453.8295455,754.5340909,759.9431818,3261.625,2467.375,1.488850871,-0.533025812,0.611714423,-0.611965998
1013,389.125,650.375,648.46875,2714.34375,2268.302083,1.414634879,-0.553289751,0.61063846,-0.609932249
1009,348.8875,561.6625,549.1125,2197.8,1814.2,1.457293251,-0.520390087,0.601767606,-0.593619215
1001,384.3522727,597.7727273,609.875,2003.5,1976.806818,1.280358806,-0.516970532,0.531615531,-0.535499063
1002,262.7333333,435.6444444,357.1222222,1729.488889,1141.133333,1.872246026,-0.438332041,0.654314485,-0.594813426
