system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8_1,B9,ID,LAT,LONG,mndwi,ndvi,ndwi,.geo
0000805a35eb7a7a5bf9,0.1055569878077599,0.0013506552484929977,0.05734801540119933,0.03196494694191346,0.07337555484141871,0.054299213219152286,0.03656103958294881,0.04855352673413498,0.0834955496723954,0.09500063605429163,0.08772322399338253,0.10277369797897605,0.04509964987442565,18,46.925179,-113.539018,0.0782825937768554,0.357004269446228,-0.17090367000414378,"{""type"":""Polygon"",""coordinates"":[[[-113.53901161113201,46.92561424126656],[-113.53919562992922,46.92559633337589],[-113.53936500048519,46.925544035206265],[-113.5395062406663,46.92546150978411],[-113.5396081076985,46.92535532625421],[-113.53966249310955,46.92523393693807],[-113.53966506811848,46.92510700449389],[-113.53961562811378,46.92498463274763],[-113.53951810882825,46.92487656242738],[-113.53938027295852,46.92479139582102],[-113.53921309220397,46.92473591206834],[-113.53902987393063,46.92471452757961],[-113.53884520197417,46.92472894451938],[-113.53867377587228,46.92477801532692],[-113.5385292408908,46.92485783405344],[-113.538423101939,46.92496204724828],[-113.53836380780244,46.92508235965615],[-113.53835607858059,46.92520919448358],[-113.53840052987755,46.925332455688505],[-113.53849362368825,46.92544233162203],[-113.53862794992446,46.92553007605346],[-113.53879281620179,46.9255887044035],[-113.53897509895852,46.92561354975496],[-113.53901161113201,46.92561424126656]]]}"
00005454f1fbe05e8010,0.13384950686398397,0.0015970460759147929,0.1173701481727758,0.07559378608056727,0.0985601724984552,0.0840446274705463,0.06972559446347289,0.08812249689862273,0.14058711440922123,0.15862211516082103,0.15262629383465148,0.17440980381371052,0.08096532915548724,17,46.924761,-113.550826,-0.15862517757064765,0.39243980216846736,-0.2902562719539792,"{""type"":""Polygon"",""coordinates"":[[[-113.55081591609664,46.92521029166701],[-113.55099993350622,46.92519238377634],[-113.551169302785,46.925140085606735],[-113.55131054190106,46.92505756018457],[-113.55141240816515,46.92495137665469],[-113.55146679316611,46.92482998733855],[-113.55146936815565,46.924703054894366],[-113.55141992852379,46.92458068314811],[-113.55132240997361,46.92447261282784],[-113.55118457514325,46.92438744622148],[-113.55101739564932,46.924331962468806],[-113.55083417875754,46.924310577980066],[-113.5506495081936,46.92432499491983],[-113.55047808338436,46.92437406572737],[-113.55033354949275,46.924453884453904],[-113.55022741134131,46.924558097648756],[-113.55016811765189,46.92467841005663],[-113.55016038848834,46.924805244884055],[-113.55020483945012,46.924928506088975],[-113.55029793255886,46.9250383820225],[-113.55043225778216,46.92512612645392],[-113.55059712281628,46.92518475480396],[-113.55077940419848,46.925209600155405],[-113.55081591609664,46.92521029166701]]]}"
000034208580b7c83527,0.11212841825344588,0.0010960084960310046,0.09642496479774523,0.05068969413380199,0.08034906329745668,0.06351430581356897,0.046945664019750574,0.06980472483354086,0.13909393340001802,0.16191846654424394,0.15434259980001117,0.1782542204517899,0.07993322122132808,33,46.909416,-113.525994,-0.18291563083819393,0.5344867726510929,-0.4144606913454075,"{""type"":""Polygon"",""coordinates"":[[[-113.52599545736875,46.90986020688413],[-113.52617942207046,46.90984229899355],[-113.52634874283719,46.909790000824145],[-113.52648994149877,46.909707475402264],[-113.52659177858617,46.90960129187264],[-113.52664614801063,46.90947990255667],[-113.52664872226346,46.909352970112494],[-113.52659929679301,46.909230598366086],[-113.52650180617492,46.90912252804557],[-113.52636401082376,46.909037361438926],[-113.52619687921363,46.90898187768603],[-113.52601371479888,46.90896049319719],[-113.5258290971283,46.908974910137026],[-113.52565772141874,46.90902398094478],[-113.525513228925,46.90910379967158],[-113.52540712117442,46.909208012866685],[-113.52534784446883,46.909328325274736],[-113.52534011751993,46.90945516010219],[-113.52538455575059,46.90957842130698],[-113.52547762219561,46.90968829724025],[-113.52561190894482,46.9097760416714],[-113.52577672675709,46.909834670021205],[-113.52595895592866,46.90985951537255],[-113.52599545736875,46.90986020688413]]]}"
000029f819da14c81c5a,0.10861405379107067,0.0016291511050130559,0.04373027809822422,0.02322815073960451,0.07699766798406137,0.05589285695235804,0.03813594940153593,0.04531768879086547,0.07110963058082226,0.0783873331162576,0.07594046506186992,0.0797844026847892,0.03212925674824826,10,46.932851,-113.551437,0.2116054276259654,0.29496209192187833,-0.1027521362049914,"{""type"":""Polygon"",""coordinates"":[[[-113.55144428214037,46.933289283658006],[-113.55162832730839,46.933271375767305],[-113.5517977221359,46.93321907759757],[-113.55193898255716,46.93313655217526],[-113.55204086418703,46.93303036864524],[-113.55209525739133,46.93290897932902],[-113.55209783276885,46.93278204688483],[-113.5520483856789,46.93265967513865],[-113.5519508524184,46.93255160481853],[-113.55181299679646,46.93246643821231],[-113.55164579208468,46.93241095445975],[-113.55146254755607,46.932389569971065],[-113.551277849136,46.93240398691079],[-113.55110639846859,46.932453057718234],[-113.55096184277491,46.93253287644461],[-113.55085568861297,46.93263708963931],[-113.55079638597907,46.9327574020471],[-113.55078865564919,46.93288423687452],[-113.55083311331576,46.93300749807951],[-113.55092622046686,46.93311737401316],[-113.55106056595243,46.93320511844474],[-113.55122545585577,46.9332637467949],[-113.5514077647345,46.93328859214641],[-113.55144428214037,46.933289283658006]]]}"
0000ebba230ab3e4d6f7,0.1085478612873086,0.0021719915947782994,0.08174063512073769,0.04109580106162676,0.07787921156488647,0.061025783545647826,0.04233171957417319,0.05774405303683727,0.10285102286777889,0.11594470771485021,0.11490920800124473,0.12599722360448215,0.04636968334049849,5,46.940941,-113.552049,-0.10232078264274785,0.44750406265383535,-0.2839913563494238,"{""type"":""Polygon"",""coordinates"":[[[-113.55202776489529,46.94141315893784],[-113.5522118379881,46.94139525104709],[-113.55238125851741,46.94134295287724],[-113.55252254037158,46.941260427454786],[-113.55262443745933,46.941154243924636],[-113.55267883891608,46.94103285460833],[-113.55268141468393,46.940905922164134],[-113.55263196009122,46.940783550418026],[-113.55253441203223,46.94067548009804],[-113.5523965354941,46.94059031349197],[-113.55222930541336,46.940534829739526],[-113.55204603308226,46.94051344525089],[-113.55186130663917,46.940527862190585],[-113.55168982995859,46.94057693299792],[-113.5515452523322,46.94065675172416],[-113.55143908206381,46.94076096491872],[-113.55137977043184,46.94088127732641],[-113.55137203892862,46.941008112153824],[-113.55141650334016,46.941131373358886],[-113.5515096246178,46.94124124929265],[-113.55164399048702,46.94132899372438],[-113.55180890540863,46.941387622074664],[-113.55199124194871,46.94141246742623],[-113.55202776489529,46.94141315893784]]]}"
