RIPID,B1,B2,B3,B4,B5,B6,B7,evi,mndwi,ndvi,ndwi
61,241.7,305.8,505.8,545.3,1911.1,1766.8,1082.5,1.110317096,-0.577130729,0.509509915,-0.601298577
68,124.2,180.4,345.1,330.1,1562.2,1218.8,659.2,1.358216316,-0.594541883,0.586055523,-0.66855464
60,105.5454545,173.6363636,346,367.3636364,1603.636364,1195.272727,689.2727273,1.13534642,-0.613369514,0.533041036,-0.682624454
67,23.08333333,88,225.5833333,226,1156.166667,777.0833333,419.9166667,1.074882342,-0.674453984,0.514229479,-0.685050944
66,85.27272727,158.1818182,352.1818182,397.2727273,1636.181818,1400.454545,825.0909091,1.115820627,-0.665089125,0.542614991,-0.690485196
78,21.41666667,77.33333333,237,178,1198.333333,676.0833333,338.1666667,1.583326848,-0.582590957,0.640178939,-0.701827437
79,17.66666667,66.58333333,195.8333333,150,1006.083333,524.25,257.9166667,1.601289673,-0.579167902,0.585322291,-0.709962179
90,263.1818182,329.0909091,523,572.3636364,1936.363636,2123.818182,1286.909091,1.171845181,-0.620499638,0.51817292,-0.600808805
88,69.16666667,127.8333333,277.25,251.75,1264.666667,944.1666667,538.8333333,1.422305726,-0.617995868,0.590959206,-0.669762239
89,260,335.7,526.1,576.7,1875.4,1960,1218.8,1.099639496,-0.590078509,0.483554307,-0.582170999
96,59.5,108.5,279.4,200.8,1491.4,1016,539.9,1.658219816,-0.625607318,0.611659884,-0.721080238
97,81.75,127.5833333,308.25,241.5,1554.916667,1017.416667,517.6666667,1.573873841,-0.602753932,0.599856804,-0.693313166
91,38.92307692,82.92307692,235.9230769,176.5384615,1167.153846,573.5384615,293.2307692,1.605305087,-0.515727765,0.464702244,-0.697796602
80,113.25,167.1666667,332.5833333,289.9166667,1516.416667,1187.25,666.0833333,1.474512287,-0.614048277,0.587591529,-0.684320609
81,106,160.25,318.4166667,286.5,1428.5,1096.666667,642.8333333,1.42279272,-0.586950223,0.57985575,-0.644323488
69,40.33333333,84.16666667,205.3333333,150.3333333,1098.416667,548,265.1666667,1.68967356,-0.565272177,0.635634253,-0.70022656
38,86.83333333,136.9166667,312.0833333,296.6666667,1619.5,1072.916667,588.3333333,1.465520486,-0.583633428,0.589316522,-0.714237774
44,340.5454545,431.4545455,702.5454545,745.4545455,2194.545455,2203.363636,1390.727273,0.990968425,-0.538037035,0.418294728,-0.541934198
1015,318.9090909,392.8181818,638.8181818,593.0909091,2202.818182,2089.272727,1253.636364,0.982200248,-0.574306022,0.428363738,-0.610201077
1016,432.5833333,532.75,845.0833333,836.25,2482.5,2647.583333,1536.166667,0.736652227,-0.552014589,0.358108155,-0.575507805
1012,337.5555556,426.6666667,685.5555556,662.3333333,2291.444444,2489.666667,1498.444444,1.021059273,-0.59726621,0.435264988,-0.607810835
1011,142.1666667,190.75,444,249.1666667,2721.416667,1115.916667,457.3333333,0.722987612,-0.566490317,0.346254575,-0.794752494
1010,153.5,198.8333333,430.1666667,320.4166667,2446.916667,1270.333333,602.5,1.857201624,-0.514184569,0.65724878,-0.724660714
1014,159,207.0833333,496.8333333,278,2676.583333,1603.083333,719.0833333,0.566839237,-0.592126921,0.311495587,-0.786910623
1017,239.9090909,295.1818182,566.4545455,435.6363636,2516,2144.090909,1155.090909,0.973688892,-0.622042109,0.429876346,-0.729548779
1013,313.5833333,419.1666667,615.3333333,714.3333333,1914.333333,2266.583333,1409.75,0.802667786,-0.652660275,0.377422678,-0.576421062
1009,248.6,312.5,479.2,480.8,1353.9,968.7,661.4,1.26462827,-0.579811966,0.445845684,-0.64208284
1001,172.1818182,211.3636364,359.5454545,349.7272727,1429.181818,1304.636364,724.3636364,1.295773579,-0.632923153,0.553205065,-0.638296041
1002,118,159.7777778,324,259.4444444,1621.444444,1047.444444,539.1111111,1.735606004,-0.54301899,0.630813625,-0.67068904
1005,106.4545455,144.8181818,264.9090909,217.5454545,1417.818182,892.7272727,461.2727273,1.825432686,-0.560996224,0.62807068,-0.687443175
1004,105.5833333,140.4166667,276.9166667,226.5,1584,1032.166667,516.0833333,1.724346906,-0.593497197,0.643796171,-0.70244805
1007,283,356.1666667,558.9166667,554.4166667,1781.833333,2092.416667,1301.166667,0.896493618,-0.61801138,0.429504255,-0.598728761
1008,132.4545455,169.8181818,335.6363636,279.1818182,1741.636364,1217.818182,620.7272727,1.720613817,-0.586340368,0.654537862,-0.694350394
1006,149.0833333,197.5833333,367.3333333,318.1666667,1877.916667,1247.5,661.1666667,1.634862061,-0.567537695,0.628967345,-0.685388431
1003,144.5833333,189.5,345.25,318.8333333,1542.916667,1188.166667,650.9166667,1.50953824,-0.597050513,0.596056918,-0.654086336
25,82.75,161.5833333,355.5833333,337.8333333,1630.333333,1142,628.75,1.325270324,-0.591502756,0.560732404,-0.677661364
32,92,172.3333333,397.75,298.25,1625.583333,1246.666667,654.4166667,1.082953887,-0.63346235,0.533698472,-0.724148487
37,90.16666667,171.3333333,353.3333333,393.8333333,1468.25,1488.583333,1084.666667,0.895651153,-0.64624389,0.470539841,-0.633216317
31,62.27272727,132.8181818,341.0909091,274.1818182,1659.454545,1142.272727,590.9090909,1.368715208,-0.602997476,0.601984593,-0.7203401
24,65.4,141.6,331.3,298.6,1619.3,1008.1,527.8,1.416078578,-0.575511736,0.604955578,-0.699453372
16,153.75,241.4166667,439.1666667,464.3333333,1678.166667,1644,993.0833333,1.118437891,-0.618469417,0.486729066,-0.616391515
3,66,144.7272727,298.1818182,343.3636364,1700.818182,1424.272727,812.7272727,1.190536812,-0.65222583,0.529012667,-0.71141191
2,14.83333333,80.41666667,204.8333333,211.3333333,1258.583333,973.1666667,485.1666667,1.327029715,-0.689355279,0.579103495,-0.755229548
6,269.6,364.7,555.3,700.5,1806.3,2177,1499.4,0.64159088,-0.629673868,0.327466813,-0.554156291
11,9.818181818,53.36363636,233,173,1555.363636,756.5454545,338.1818182,1.363901359,-0.626814989,0.598751431,-0.759769147
7,90.36363636,163.2727273,323.3636364,349.2727273,1471,1047.272727,579.8181818,1.195202389,-0.590132242,0.500836345,-0.689392946
8,24.7,90.6,289.1,229.2,1357.9,896.9,470,1.338637849,-0.589791799,0.58772772,-0.707269168
9,24.91666667,86,259.6666667,209.9166667,1197.583333,739.75,402.4166667,1.352051403,-0.594099621,0.509629243,-0.712247844
4,34.44444444,87.44444444,266.2222222,261.7777778,1720.888889,1064.444444,473.5555556,1.259999322,-0.649015665,0.473639442,-0.752086514
15,68.72727273,140.4545455,306.6363636,275.2727273,1559.363636,1086.272727,603.5454545,1.347788974,-0.633130518,0.5968513,-0.696414649
14,450.25,584.6666667,897.9166667,1028.666667,2276.833333,2873,1790,0.463980448,-0.570521022,0.255064767,-0.519298288
21,-0.083333333,59.16666667,221.4166667,161.9166667,1082.416667,568.5,259.0833333,1.474659371,-0.606929094,0.631477719,-0.727539117
22,6.1,74,269.7,201.9,1495.8,808.3,379.3,1.539358603,-0.598873818,0.66686402,-0.731743157
23,33.09090909,99.90909091,327.7272727,261.7272727,1685.090909,1303.727273,671.4545455,1.434962208,-0.650122252,0.619637056,-0.724283446
