RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
101,282.4,429.9,363,1679.4,948.8,2.542989932,-0.303393769,0.745161015,-0.583991987
45,509.4,690.1,683.9,2171,1647.8,1.673684985,-0.382100666,0.599450624,-0.499775854
70,533.9,762.3,641.5,2333.3,1549.9,2.283713064,-0.340607908,0.672667015,-0.507402277
62,696.6666667,866.6666667,797.4166667,2353.333333,1625.5,2.537834598,-0.242229287,0.676026151,-0.39876472
54,500.3636364,725,646.8181818,2414.272727,1574.545455,2.006064461,-0.331703584,0.677014557,-0.516607398
46,460.6666667,688.5,629.9166667,2286.166667,1731,1.93862178,-0.410769324,0.623247867,-0.517935167
55,550.5,768,701.25,2346.666667,1506.166667,2.221085939,-0.31622042,0.667827427,-0.502415118
47,618,844,731.5555556,2533.666667,1542.666667,2.660663521,-0.24352489,0.675763276,-0.499755283
41,654.9,897.2,839.6,2676.7,2247.8,4.838091751,-0.271284838,0.607841784,-0.421510044
48,525.7272727,706.3636364,654.3636364,2153.818182,1601.818182,2.06553027,-0.383801065,0.648151858,-0.505189113
56,512.5,708.7,617.2,2376.4,1564.1,2.207378144,-0.339069876,0.668847805,-0.501776534
71,506.5833333,694.9166667,556.25,2486.25,1403.25,2.814143106,-0.298000487,0.734919513,-0.550869957
63,349.5,539.2,413.5,2008.2,1192,2.602607817,-0.335985255,0.710594499,-0.538271224
72,371.25,544.9166667,458.0833333,1809.833333,1113.916667,2.747184273,-0.343548829,0.702608377,-0.535394035
82,443.2727273,646,569.0909091,2490.454545,1727.909091,2.00372554,-0.450294058,0.680597869,-0.576211799
99,363.3333333,525.5833333,433.5833333,1921.75,951.6666667,2.684908602,-0.261085926,0.722849553,-0.545170819
100,457.25,674.5833333,615.8333333,2089.916667,1792.25,2.307479667,-0.226301704,0.587761144,-0.419889497
92,376,575.3,445.6,2142.8,1395.3,2.391840724,-0.321634141,0.702182955,-0.546189076
98,327.2727273,489.3636364,408,1739,1250.818182,2.334366683,-0.401347735,0.685162127,-0.544190976
95,297.6666667,439.8333333,355.8333333,1628.75,914,2.429967104,-0.3019648,0.703254287,-0.559366316
87,425.7272727,603.4545455,511.4545455,1977.818182,1611.454545,2.20671153,-0.446199488,0.668991121,-0.526167948
