RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
39,337,513.3,410.9,2299.3,1368,2.246517047,-0.412321803,0.727221441,-0.565354252
26,701.4545455,809.4545455,836.7272727,2564.272727,2219.090909,2.320721238,-0.385917254,0.639644493,-0.456831943
27,425.9166667,583.4166667,617.0833333,2207.5,1609.416667,1.916917733,-0.404825958,0.675505981,-0.515933779
20,310.2,440.8,336.3,2004.3,1089.3,2.788043563,-0.345457074,0.75219146,-0.580180651
13,836.5454545,1106.545455,1321.909091,2601.090909,3367.636364,1.440241156,-0.471840157,0.54841843,-0.355357639
12,585.25,671.5,571,2086.833333,1182.75,5.676302528,-0.11980707,0.736963724,-0.406996441
19,603.6666667,728.75,735.25,2173.333333,1849.916667,2.10029555,-0.330265895,0.632056057,-0.400117969
18,309.5384615,480.3076923,398.4615385,2028.692308,1153.923077,2.255240764,-0.353978875,0.709309908,-0.594477713
17,314.1818182,473.9090909,401,1932,1180.454545,2.082134521,-0.3714282,0.686166888,-0.594377827
33,392.8333333,596,554.75,2482.5,1572.666667,1.923506659,-0.392585111,0.685879375,-0.580267355
10,266,402.4545455,301.0909091,1889.636364,941.7272727,2.763445252,-0.276290475,0.744269702,-0.588455189
5,544.6666667,628.9166667,528.3333333,2330.916667,1363.75,3.80233791,-0.272099424,0.734635914,-0.475918151
